nm_id,name,brand,price,old_price,rating,feedbacks,url,category
270166835,/ Короткое Y2K платье лапша с завязками и драпировкой,VISCONTE,1859,1859,"4,8",1 202 оценки,https://www.wildberries.ru/catalog/270166835/detail.aspx,Dresses
42729836,/ Платье футляр вечернее кожаное нарядное,LikeHugs,3777,3777,"4,9",1 674 оценки,https://www.wildberries.ru/catalog/42729836/detail.aspx,Dresses
360557505,/ Платье джинсовое нарядное повседневное,BLAGE,2909,2909,"4,8",314 оценок,https://www.wildberries.ru/catalog/360557505/detail.aspx,Dresses
294205173,/ Платье вечернее мини офисное,ЗДЕСЬ&СЕЙЧАС,4417,4417,"4,7",338 оценок,https://www.wildberries.ru/catalog/294205173/detail.aspx,Dresses
269920846,/ Платье лапша с завязками и драпировкой,YrysKam,1928,1928,"4,8",505 оценок,https://www.wildberries.ru/catalog/269920846/detail.aspx,Dresses
283952888,Платье праздничное вечернее,Unknown,2191,2191,"4,8",1 840 оценок,https://www.wildberries.ru/catalog/283952888/detail.aspx,Dresses
267913413,/ Платье с длинным рукавом вельветовое,FELICIA MICCOLI,2613,2613,"4,7",1 836 оценок,https://www.wildberries.ru/catalog/267913413/detail.aspx,Dresses
460189740,/ Платье футляр вечернее праздничное,Beneful,3773,3773,"4,9",456 оценок,https://www.wildberries.ru/catalog/460189740/detail.aspx,Dresses
176692475,/ Вечернее платье длинное праздничное на новый год,Just a brand.,1664,1664,"4,4",1 475 оценок,https://www.wildberries.ru/catalog/176692475/detail.aspx,Dresses
5097193,/ Платье бархатное вечернее с разрезом в пол новогоднее,emse,2598,2598,"4,9",7 338 оценок,https://www.wildberries.ru/catalog/5097193/detail.aspx,Dresses
182870161,/ Платье рубашка вельветовое,FELICIA MICCOLI,2613,2613,"4,7",10 872 оценки,https://www.wildberries.ru/catalog/182870161/detail.aspx,Dresses
450815908,/ Платье лапша большие размеры,MEDEVI Clo,1532,1532,"4,8",369 оценок,https://www.wildberries.ru/catalog/450815908/detail.aspx,Dresses
133431297,/ Платье трикотажное теплое,ТЫСЯЧА СТОЛИЦ,1330,1330,"4,6",687 оценок,https://www.wildberries.ru/catalog/133431297/detail.aspx,Dresses
248473684,/ Платье вечернее нарядное облегающее праздничное,GILA,5060,5060,"4,6",1 608 оценок,https://www.wildberries.ru/catalog/248473684/detail.aspx,Dresses
137769864,/ Платье вечернее праздничное,Abito Nero,3920,3920,"4,7",6 816 оценок,https://www.wildberries.ru/catalog/137769864/detail.aspx,Dresses
70109007,/ Платье летнее повседневное длинное,Xela Fashion,3161,3161,"4,8",9 204 оценки,https://www.wildberries.ru/catalog/70109007/detail.aspx?targetUrl=MI,Dresses
145535791,/ Школьное платье для девочки,Tios,1571,1571,"4,6",4 066 оценок,https://www.wildberries.ru/catalog/145535791/detail.aspx?targetUrl=MI,Dresses
156643543,/ Платье-мини с рукавами,Attalea,1638,1638,"4,7",204 оценки,https://www.wildberries.ru/catalog/156643543/detail.aspx?targetUrl=MI,Dresses
165947394,/ Платье в цветочек праздничное,Одежда VB,443,443,"4,4",2 187 оценок,https://www.wildberries.ru/catalog/165947394/detail.aspx?targetUrl=MI,Dresses
62441596,,Alex Nemo,,,"4,8",,https://www.wildberries.ru/catalog/62441596/detail.aspx?targetUrl=MI,Dresses
