nm_id,name,brand,price,old_price,rating,feedbacks,url,image_url,category,description,reviews
667805928,/ Теплая толстовка оверсайз с надписью на спине,ТВОЕ,1648,1648,"4,9",13 оценок,https://www.wildberries.ru/catalog/667805928/detail.aspx,https://alm-basket-cdn-05.geobasket.net/vol6678/part667805/667805928/images/c516x688/1.webp,Hoodies,,
428336260,/ Свитшот оверсайз однотонный без начеса,wildbrothers,1866,1866,"4,8",313 оценок,https://www.wildberries.ru/catalog/428336260/detail.aspx,https://alm-basket-cdn-02.geobasket.net/vol4283/part428336/428336260/images/c516x688/1.webp,Hoodies,,
167258034,/ Зип худи оверсайз с капюшоном на молнии без начеса,Hoodie store,2170,2170,"4,8",4 770 оценок,https://www.wildberries.ru/catalog/167258034/detail.aspx,https://alm-basket-cdn-01.geobasket.net/vol1672/part167258/167258034/images/c516x688/1.webp,Hoodies,,
533512976,/ Худи оверсайз с капюшоном без начеса,Cotton Care,832,832,"4,8",53 оценки,https://www.wildberries.ru/catalog/533512976/detail.aspx,https://alm-basket-cdn-03.geobasket.net/vol5335/part533512/533512976/images/c516x688/1.webp,Hoodies,,
273738757,/ Худи оверсайз с капюшоном и начесом,Cotton Care,1014,1014,"4,3",697 оценок,https://www.wildberries.ru/catalog/273738757/detail.aspx,https://alm-basket-cdn-04.geobasket.net/vol2737/part273738/273738757/images/c516x688/1.webp,Hoodies,,
495870278,/ Худи оверсайз с начёсом тёплое повседневное с капюшоном,Фосфор,1350,1350,"4,9",439 оценок,https://www.wildberries.ru/catalog/495870278/detail.aspx,https://alm-basket-cdn-05.geobasket.net/vol4958/part495870/495870278/images/c516x688/1.webp,Hoodies,,
198068987,/ Худи оверсайз теплое с капюшоном y2k с начесом,ТЕЛОДВИЖЕНИЯ,1393,1393,"4,8",175 137 оценок,https://www.wildberries.ru/catalog/198068987/detail.aspx,https://alm-basket-cdn-04.geobasket.net/vol1980/part198068/198068987/images/c516x688/1.webp,Hoodies,,
45029875,/ Худи оверсайз теплое с капюшоном y2k с начесом,ТЕЛОДВИЖЕНИЯ,1393,1393,"4,8",175 137 оценок,https://www.wildberries.ru/catalog/45029875/detail.aspx,https://alm-basket-cdn-02.geobasket.net/vol450/part45029/45029875/images/c516x688/1.webp,Hoodies,,
223298760,/ Свитшот худи без капюшона с начесом,UZcotton,962,962,"4,8",9 133 оценки,https://www.wildberries.ru/catalog/223298760/detail.aspx,https://alm-basket-cdn-02.geobasket.net/vol2232/part223298/223298760/images/c516x688/1.webp,Hoodies,,
445857622,/ Худи оверсайз с капюшоном,NAR,715,715,"4,8",254 оценки,https://www.wildberries.ru/catalog/445857622/detail.aspx,https://alm-basket-cdn-04.geobasket.net/vol4458/part445857/445857622/images/c516x688/1.webp,Hoodies,,
462771302,/ Толстовка c капюшоном и надписью Harvard,ТВОЕ,1942,1942,"4,9",157 оценок,https://www.wildberries.ru/catalog/462771302/detail.aspx,https://alm-basket-cdn-04.geobasket.net/vol4627/part462771/462771302/images/c516x688/1.webp,Hoodies,,
599241698,/ Свитшот без капюшона с вышивкой и начесом,SOLOVEY KIDS,1005,1005,"4,9",84 оценки,https://www.wildberries.ru/catalog/599241698/detail.aspx,https://alm-basket-cdn-05.geobasket.net/vol5992/part599241/599241698/images/c516x688/1.webp,Hoodies,,
212947278,/ Худи оверсайз теплое с начесом и принтом на спине y2k,ТЕЛОДВИЖЕНИЯ,1526,1526,"4,8",4 977 оценок,https://www.wildberries.ru/catalog/212947278/detail.aspx,https://alm-basket-cdn-05.geobasket.net/vol2129/part212947/212947278/images/c516x688/1.webp,Hoodies,,
415521417,/ Толстовка флисовая больших размеров,MR BIGMAN,2093,2093,"4,8",3 169 оценок,https://www.wildberries.ru/catalog/415521417/detail.aspx,https://alm-basket-cdn-04.geobasket.net/vol4155/part415521/415521417/images/c516x688/1.webp,Hoodies,,
327457360,/ Свитшот без начеса,NOVOCH,1541,1541,"4,7",1 299 оценок,https://www.wildberries.ru/catalog/327457360/detail.aspx,https://alm-basket-cdn-02.geobasket.net/vol3274/part327457/327457360/images/c516x688/1.webp,Hoodies,,
26818664,/ Худи оверсайз с капюшоном толстовка y2k у2к sk8,rebel streetwear,4291,4291,"4,7",206 оценок,https://www.wildberries.ru/catalog/26818664/detail.aspx?targetUrl=MI,https://alm-basket-cdn-01.geobasket.net/vol268/part26818/26818664/images/c516x688/1.webp,Hoodies,,
144374376,/ Худи Берсерк оверсайз с начесом с принтом,Others,4184,4184,"4,9",321 оценка,https://www.wildberries.ru/catalog/144374376/detail.aspx?targetUrl=MI,https://alm-basket-cdn-03.geobasket.net/vol1443/part144374/144374376/images/c516x688/1.webp,Hoodies,,
14698143,/ Худи кроп оверсайз с начесом подгибаемое теплое Moyen,Rosewater,4706,4706,"4,8",286 оценок,https://www.wildberries.ru/catalog/14698143/detail.aspx?targetUrl=MI,https://alm-basket-cdn-05.geobasket.net/vol146/part14698/14698143/images/c516x688/1.webp,Hoodies,,
176844319,/ Худи оверсайз без начеса,Descanso,2299,2299,"4,8",1 719 оценок,https://www.wildberries.ru/catalog/176844319/detail.aspx?targetUrl=MI,https://alm-basket-cdn-01.geobasket.net/vol1768/part176844/176844319/images/c516x688/1.webp,Hoodies,,
167687959,,blackn,1118,1118,"4,5",,https://www.wildberries.ru/catalog/167687959/detail.aspx?targetUrl=MI,https://alm-basket-cdn-01.geobasket.net/vol1676/part167687/167687959/images/c516x688/1.webp,Hoodies,,
